iter	Logloss
0	0.6781870759
1	0.6647225567
2	0.6516480384
3	0.640282153
4	0.6302063712
5	0.6224278302
6	0.6152314639
7	0.6072372792
8	0.6009799241
9	0.5943371606
10	0.588232367
11	0.5839320959
12	0.5781735638
13	0.5737173785
14	0.5680785934
15	0.5651228535
16	0.5600635179
17	0.5563794605
18	0.5524494446
19	0.549750989
20	0.5465656039
21	0.5440122965
22	0.5419492333
23	0.5384524716
24	0.5362917691
25	0.5332147459
26	0.5307704022
27	0.5287891002
28	0.5271959833
29	0.5257913751
30	0.5240237494
31	0.5226845172
32	0.5206838403
33	0.5186246296
34	0.516951505
35	0.5154746547
36	0.5140844293
37	0.5133195261
38	0.5125503526
39	0.5113152367
40	0.5098195578
41	0.5086224406
42	0.5077520969
43	0.5068569834
44	0.5061844392
45	0.504971305
46	0.5040351798
47	0.5031602533
48	0.5026000052
49	0.5018423219
50	0.5008754431
51	0.5001644499
52	0.4995367168
53	0.4988439386
54	0.4982698539
55	0.4977676372
56	0.4972030627
57	0.4969546693
58	0.4962790311
59	0.4957234001
60	0.4951217654
61	0.4947528693
62	0.4943194928
63	0.4939098716
64	0.4935109067
65	0.4931327426
66	0.492651427
67	0.4923347747
68	0.4920265415
69	0.4914444161
70	0.4911335666
71	0.490967338
72	0.4906143782
73	0.4904256509
74	0.4901778748
75	0.489859095
76	0.4894386692
77	0.4891576658
78	0.4889938048
79	0.4887049528
80	0.4883822809
81	0.4881410443
82	0.487800492
83	0.4874354681
84	0.4872609118
85	0.4870513486
86	0.4867370474
87	0.4865599981
88	0.4863144119
89	0.4860435429
90	0.4857167026
91	0.4854949624
92	0.4852756706
93	0.4851210636
94	0.484865506
95	0.484678296
96	0.4844059104
97	0.4842399226
98	0.484008265
99	0.4838112308
100	0.4836155014
101	0.4834698187
102	0.4831344436
103	0.4830083976
104	0.4827700898
105	0.4824967399
106	0.4823605429
107	0.4822598372
108	0.4820375378
109	0.4819767215
110	0.4816829825
111	0.4815275084
112	0.4813308551
113	0.4812030767
114	0.4811450821
115	0.4809049003
116	0.4807909828
117	0.4806905535
118	0.4805861
119	0.4804433422
120	0.4803191527
121	0.4802177861
122	0.4800409213
123	0.4799412275
124	0.4798076778
125	0.4797238506
126	0.4795709179
127	0.479453959
128	0.4793229873
129	0.4792595804
130	0.4791539169
131	0.479020431
132	0.4789449849
133	0.4787991106
134	0.4786828128
135	0.4786074375
136	0.4785206576
137	0.4784600003
138	0.4783521389
139	0.4782962124
140	0.4782422319
141	0.4780685246
142	0.478014991
143	0.4778857018
144	0.477758917
145	0.4776353367
146	0.4775689251
147	0.4775528577
148	0.477459239
149	0.4773799123
150	0.4772274727
151	0.4770683434
152	0.4770176487
153	0.4769670028
154	0.4768151514
155	0.4767301664
156	0.4765088167
157	0.4763481764
158	0.4762614676
159	0.4761966449
160	0.4761174373
161	0.4760305247
162	0.4758591054
163	0.4758241385
164	0.4757588543
165	0.4757003341
166	0.475618278
167	0.4755535163
168	0.4755069422
169	0.4754269595
170	0.4753459412
171	0.4752487421
172	0.4751191288
173	0.4750692135
174	0.4749019395
175	0.4748197626
176	0.4747595889
177	0.4747138742
178	0.4745261525
179	0.4744187601
180	0.4743747565
181	0.4743012338
182	0.4741981578
183	0.4741479059
184	0.4740954476
185	0.4740641174
186	0.4739937854
187	0.4739029098
188	0.4738268446
189	0.4737222063
190	0.4736198306
191	0.4735300265
192	0.4734230496
193	0.4732568509
194	0.4731447936
195	0.4730859151
196	0.4730086229
197	0.4729217036
198	0.4728080016
199	0.4727198505
200	0.472567015
201	0.4724781253
202	0.4724306258
203	0.4723251481
204	0.4722352851
205	0.4721448782
206	0.4721013742
207	0.4720007758
208	0.4719112192
209	0.4718412615
210	0.4717370799
211	0.471664482
212	0.4715508252
213	0.4714759482
214	0.4714015222
215	0.4713077472
216	0.4711737948
217	0.4710746057
218	0.4709595234
