iter	Passed	Remaining
0	3	714
1	6	721
2	9	704
3	12	684
4	16	698
5	26	955
6	30	935
7	33	893
8	39	910
9	42	881
10	45	856
11	48	840
12	51	823
13	55	807
14	59	803
15	62	788
16	65	775
17	68	764
18	71	753
19	74	742
20	77	730
21	80	719
22	83	710
23	86	702
24	89	697
25	92	689
26	96	683
27	99	675
28	101	668
29	105	662
30	108	655
31	111	649
32	114	643
33	117	638
34	120	635
35	123	629
36	127	625
37	130	619
38	133	614
39	136	612
40	139	606
41	142	601
42	145	595
43	148	591
44	152	589
45	155	584
46	158	579
47	161	575
48	164	571
49	167	566
50	170	562
51	173	557
52	176	552
53	180	552
54	183	548
55	187	544
56	190	540
57	192	535
58	195	531
59	198	527
60	202	523
61	204	518
62	207	513
63	210	509
64	213	506
65	216	502
66	219	498
67	222	494
68	225	490
69	228	486
70	231	483
71	234	479
72	237	475
73	241	472
74	244	468
75	249	469
76	253	467
77	256	463
78	260	460
79	263	457
80	266	453
81	269	449
82	272	446
83	275	443
84	279	441
85	283	438
86	286	434
87	289	430
88	293	428
89	296	424
90	299	421
91	302	417
92	306	414
93	309	411
94	312	407
95	315	403
96	318	400
97	322	398
98	326	395
99	329	391
100	332	388
101	335	384
102	338	381
103	341	377
104	344	374
105	348	371
106	351	367
107	354	364
108	357	361
109	360	357
110	364	354
111	367	350
112	370	347
113	373	343
114	376	340
115	379	337
116	383	334
117	386	331
118	390	327
119	393	324
120	396	320
121	399	317
122	402	314
123	406	311
124	409	307
125	412	304
126	415	301
127	418	297
128	422	294
129	425	291
130	428	287
131	431	284
132	434	281
133	437	277
134	440	274
135	443	270
136	447	267
137	451	264
138	454	261
139	457	258
140	460	254
141	463	251
142	466	248
143	469	244
144	472	241
145	476	238
146	479	234
147	482	231
148	486	228
149	489	225
150	493	222
151	496	218
152	499	215
153	502	211
154	505	208
155	508	205
156	511	202
157	514	198
158	517	195
159	520	192
160	524	188
161	527	185
162	530	182
163	533	179
164	537	175
165	540	172
166	543	169
167	546	165
168	549	162
169	552	159
170	555	156
171	558	152
172	561	149
173	564	146
174	567	142
175	570	139
176	573	136
177	577	132
178	580	129
179	583	126
180	586	123
181	589	119
182	592	116
183	595	113
184	598	110
185	601	106
186	605	103
187	608	100
188	611	97
189	614	93
190	617	90
191	621	87
192	624	84
193	627	80
194	630	77
195	633	74
196	636	71
197	639	67
198	642	64
199	645	61
200	649	58
201	651	54
202	654	51
203	657	48
204	661	45
205	664	41
206	667	38
207	670	35
208	673	32
209	676	28
210	679	25
211	683	22
212	686	19
213	689	16
214	693	12
215	697	9
216	703	6
217	707	3
218	710	0
